Punch count,Type,Hand,Speed(mph),Power (lbs/f)
1,Improper,R,8,103
2,Improper,R,13,89
3,Jab,L,11,86
4,Improper,R,12,93
5,Jab,L,15,106
6,Improper,R,12,89
7,Improper,L,15,98
8,Cross,R,13,120
9,Improper,L,11,81
10,Cross,R,12,87
11,Improper,L,15,103
12,Cross,R,12,103
13,Improper,L,10,80
14,Improper,R,10,86
15,Improper,L,14,100
16,Improper,R,12,124
17,Cross,R,11,90
18,Improper,L,11,83
19,Improper,R,12,106
20,Cross,R,12,114
21,Improper,L,10,83
22,Improper,R,10,84
23,Improper,L,10,81
24,Cross,R,12,92
25,Improper,L,11,82
26,Cross,R,13,98
27,Improper,R,12,83
28,Improper,L,11,82
29,Cross,R,12,91
30,Improper,L,10,94
31,Cross,R,12,114
32,Improper,L,11,80
33,Improper,R,11,96
34,Improper,L,11,84
35,Cross,R,11,100
36,Improper,L,10,81
37,Cross,R,10,81
38,Improper,L,13,104
39,Cross,R,11,112
40,Improper,L,13,89
41,Cross,R,11,107
42,Improper,L,13,89
43,Cross,R,10,102
44,Improper,L,14,100
45,Improper,L,9,96
46,Improper,L,14,96
47,Cross,R,11,122
48,Improper,L,12,86
49,Improper,R,10,107
50,Improper,L,14,106
51,Cross,R,10,110
52,Improper,L,14,103
53,Cross,R,9,91
54,Improper,L,12,94
55,Cross,R,11,114
56,Improper,L,11,82
57,Cross,R,10,81
58,Improper,L,14,119
59,Cross,R,9,108
60,Improper,L,12,106
61,Improper,R,9,111
62,Improper,L,12,112
63,Cross,R,9,127
64,Improper,L,13,110
65,Cross,R,9,110
66,Improper,L,14,108
67,Cross,R,9,100
68,Improper,L,14,100
69,Cross,R,10,86
70,Jab,L,10,81
71,Cross,R,10,81
72,Improper,L,13,103
73,Cross,R,9,112
74,Improper,L,11,84
75,Cross,R,10,102
76,Improper,L,11,91
77,Improper,R,9,105
78,Improper,L,11,82
79,Cross,R,10,98
80,Improper,L,12,80
81,Improper,R,9,81
82,Improper,L,12,90
83,Cross,R,10,81
84,Improper,L,14,101
85,Cross,R,10,81
86,Improper,L,12,95
87,Cross,R,11,95
88,Hook,L,12,97
89,Cross,R,11,95
90,Hook,L,12,97
91,Cross,R,10,93
92,Improper,L,13,100
93,Cross,R,9,110
94,Improper,L,12,96
95,Cross,R,9,84
96,Hook,L,12,102
97,Cross,R,10,108
98,Improper,L,13,127
99,Cross,R,11,121
100,Uppercut,R,10,82
101,Jab,L,14,106
102,Jab,L,13,92
103,Improper,L,14,105
104,Improper,L,13,92
105,Improper,L,11,84
106,Improper,L,11,83
107,Jab,L,13,96
108,Improper,L,11,80
109,Jab,L,14,101
110,Improper,L,13,92
111,Improper,L,17,118
112,Improper,L,15,109
113,Improper,L,15,101
114,Improper,L,18,121
115,Improper,L,12,83
116,Improper,L,16,107
117,Improper,L,12,92
118,Improper,L,16,120
119,Improper,L,13,106
120,Improper,L,14,108
121,Improper,L,16,109
122,Improper,L,13,93
123,Improper,L,11,80
